San Jose Mercury News,Breaking News (All),http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=bangmulti2spreed&uri=http://delivery.digitalfirstmedia.com/XML/BANG_Breaking_News.xml,
San Jose Mercury News,News (All),http://feeds.cal-one.net/rss_content/remove_email_links.php?feed=mercurynews-local-news.xml,
San Jose Mercury News,All Sports (Smartphone),http://feeds.cal-one.net/rss_content/remove_email_links.php?feed=bayarea-sports.xml,
San Jose Mercury News,SF Giants (Smartphone),http://feeds.cal-one.net/rss_content/remove_email_links.php?feed=http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/261302.xml,
San Jose Mercury News,Oakland A's (Smartphone),http://feeds.cal-one.net/rss_content/remove_email_links.php?feed=http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/261303.xml,
San Jose Mercury News,High School Sports (Smartphone),http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/200902.xml,
San Jose Mercury News,Entertainment (Smartphone),http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.contracostatimes.com/mngi/rss/CustomRssServlet/571/255604.xml,
San Jose Mercury News,Living (Smartphone),http://feeds.cal-one.net/rss_content/remove_email_links.php?feed=bayarea-living.xml,
San Jose Mercury News,Business (Smartphone),http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/254424.xml,
San Jose Mercury News,Opinion (Smartphone),http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/200766.xml,
San Jose Mercury News,Columnists (Smartphone),http://feeds.cal-one.net/rss_content/ipad_ready.php?file=http://feeds.cal-one.net/rss_content/bayarea-ipad-columnists.xml,
San Jose Mercury News,California (Smartphone),http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/260952.xml,
San Jose Mercury News,Nation-World (Smartphone),http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/259932.xml,
San Jose Mercury News,SF Giants (All),http://feeds.cal-one.net/rss_content/remove_email_links.php?feed=http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/261302.xml,
San Jose Mercury News,Silicon Valley.com (Smartphone),http://feeds.cal-one.net/rss_content/remove_email_links.php?feed=siliconvalley-top-news.xml,
San Jose Mercury News,Top Stories (iPad),http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.mercurynews.com/mngi/rss/CustomRssServlet/568/262711.xml,
San Jose Mercury News,Latest News (iPad),http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=bangmulti2spreed&uri=http://delivery.digitalfirstmedia.com/XML/BANG_Latest_News.xml,
