Berkshire Eagle,Breaking News,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260554.xml
Berkshire Eagle,Local News,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260555.xml
Berkshire Eagle,Community News,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=feed://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260556.xml
Berkshire Eagle,State News,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260557.xml
Berkshire Eagle,Entertainment,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/240727.xml
Berkshire Eagle,Berkshire's Week,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260559.xm
Berkshire Eagle,Theater Reviews,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260560.xml
Berkshire Eagle,Local Sports,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260561.xml
Berkshire Eagle,College Sports,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260562.xml
Berkshire Eagle,High School Sports,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260563.xml
Berkshire Eagle,National Sports,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260564.xml
Berkshire Eagle,Sports Letters,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/260565.xml
Berkshire Eagle,Lifestyles,NEW 10/11,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/261203.xml
Berkshire Eagle,Opinion,NEW 10/11,http://delivery.digitalfirstmedia.com/ConvergencePublisher/?format=genericxml2spreed&uri=http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/240735.xml
Berkshire Eagle,Giants,http://feeds.berkshireeagle.com/mngi/rss/CustomRssServlet/101/240731.xml
